Anahtar,Parametre,Değer
1,SNTRLHZMT,1
1,BSPRT,0
1,IPDSLM,1
1,IPTVHZMT,1
1,SNTRLIDX,771404
1,SNTRLAD,ESENYURT
1,SNTRLMDK,77
1,SNTRLMDA,AVCILAR
1,SNTRLIDT,234077000000001404
1,DSLMXSPD,17516
1,IPVMXSPD,17516
1,SNTRLMSF,232
1,FIBERX,0
1,NDSLX,1
1,MPLSBGL,1
1,ACKISEMRI, | | 
1,SNTRLT11,0
1,SNTRLPRTT11,0
1,MEVCTHZ,0
1,NMSMAX,17516
1,ISIPVOK,1
1,GREENBROWN,B
1,ISFTTC,FTTB sistem
1,ISINDOOR,OUTDOOR
1,FTTX1GB,-1
1,SVUID,17879865450
6,SNTRLHZMT,1
6,BSPRT,0
6,IPDSLM,1
6,IPTVHZMT,1
6,SNTRLIDX,771404
6,SNTRLAD,ESENYURT
6,SNTRLMDK,77
6,SNTRLMDA,AVCILAR
6,SNTRLIDT,234077000000001404
6,DSLMXSPD,65112
6,IPVMXSPD,65112
6,SNTRLMSF,232
6,FIBERX,0
6,NDSLX,1
6,MPLSBGL,1
6,ACKISEMRI, | | 
6,SNTRLT11,0
6,SNTRLPRTT11,0
6,MEVCTHZ,0
6,NMSMAX,65112
6,ISIPVOK,1
6,GREENBROWN,B
6,ISFTTC,FTTB sistem
6,ISINDOOR,OUTDOOR
6,FTTX1GB,-1
6,SVUID,17879865492
